品名,出し方,備考
ソファーベッド,粗大ごみ,事前申込制
体温計（水銀体温計を除く）,家庭ごみ,電子式で小型（概ね25センチ×8.5センチ以内）のものは小型電子機器回収ボックスへ  水銀体温計は区役所・出張所の水銀体温計回収ボックスへ
耐火金庫,市が収集しないもの,（注）専門の処理業者に依頼
台車,粗大ごみ,事前申込制
体脂肪計,家庭ごみ,
体重計（ヘルスメーター）,家庭ごみ,
タイプライター,粗大ごみ,事前申込制
タイヤ,市が収集しないもの,（注）販売店に相談
タイヤチェーン,粗大ごみ,事前申込制
タイヤホイール,粗大ごみ,事前申込制
タイル（ガーデニング用、屋外用）,粗大ごみ,事前申込制
高枝切ばさみ,粗大ごみ,事前申込制
卓上コンロ,小物金属,小物金属回収ボックスへ  カセットボンベは中身を使い切ってから穴をあけずに家庭ごみ（中身の残っているものは「市が収集しないもの」参照）
卓上IHコンロ,小型電子機器,小型電子機器回収ボックスへ
畳,粗大ごみ,事前申込制
卓球台,粗大ごみ,事前申込制
脱臭剤（冷蔵庫用など）,家庭ごみ,
タッパー類,家庭ごみ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
たばこの外装フィルム,プラスチック,
タブレット端末,小型電子機器,小型電子機器回収ボックスへ
卵パック（プラ製）,プラスチック,紙製のものは家庭ごみ
タマネギなどの網・ネット,プラスチック,
たらい,粗大ごみ,事前申込制
たわし,家庭ごみ,金属製のものは小物金属回収ボックスへ
単行本,古紙,古紙回収ボックスへ
たんす,粗大ごみ,事前申込制
ダンベル（鉄アレイ）,小物金属,小物金属回収ボックスへ  金属製以外のものは家庭ごみ
段ボール,古紙,古紙回収ボックスへ  ガムテープや伝票は外して
チェーン,家庭ごみ,金属製のものは小物金属回収ボックスへ
チェーンソー,粗大ごみ,事前申込制
地球儀,家庭ごみ,指定袋に入らない大きさのものは粗大ごみ
チャイルドシート,粗大ごみ,事前申込制
茶こし,小物金属,小物金属回収ボックスへ
茶だんす,粗大ごみ,事前申込制
茶筒,家庭ごみ,金属製のものは小物金属回収ボックスへ  プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
着火剤,家庭ごみ,
茶碗,家庭ごみ,新聞紙などに包んで　割れたものも家庭ごみ  プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
中華鍋,小物金属,小物金属回収ボックスへ  30センチを超えるものは家庭ごみ
注射針,市が収集しないもの,（注）かかりつけの病院に引き取りを依頼
注射筒,家庭ごみ,新聞紙などに包んで  針が外せない物はかかりつけの病院に引き取りを依頼
チューナー（BS・CS）,粗大ごみ,事前申込制  小型（概ね25センチ×8.5センチ以内）のものは小型電子機器回収ボックスへ
彫刻刀,家庭ごみ,新聞紙などに包んで
ちょうつがい,小物金属,小物金属回収ボックスへ
調理台,粗大ごみ,事前申込制
チラシ（新聞折込み）,古紙,古紙回収ボックスへ
ちり紙,家庭ごみ,
ちりとり,家庭ごみ,金属製のものは小物金属回収ボックスへ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
ついたて,粗大ごみ,事前申込制
つえ,家庭ごみ,
机,粗大ごみ,事前申込制
つけもの石（石製・ポリエチレン製）,粗大ごみ,事前申込制
土（鉢植えなどから出た少量のもの）,家庭ごみ,
土（多量のもの）,粗大ごみ,事前申込制
つっぱり棒,家庭ごみ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
壺（つぼ）,家庭ごみ,新聞紙などに包んで
詰替え品の容器など（プラ製）,プラスチック,
つめ切り,小物金属,小物金属回収ボックスへ
つりざお,家庭ごみ,指定袋に入らない大きさのものは粗大ごみ
つりばり,家庭ごみ,新聞紙などに包んで
DVD（ケースを含む）,プラスチック,
DVDプレーヤー,粗大ごみ,事前申込制  小型（概ね25センチ×8.5センチ以内）のものは小型電子機器回収ボックスへ
デイパック,家庭ごみ,
ティッシュの箱,古紙,古紙回収ボックスへ  取り出し口のビニールははがして
ティッシュペーパー,家庭ごみ,
テーブル,粗大ごみ,事前申込制
テーブルタップ（電気コード）,小型電子機器,小型電子機器回収ボックスへ
テープレコーダー,粗大ごみ,事前申込制  小型（概ね25センチ×8.5センチ以内）のものは小型電子機器回収ボックスへ
手さげ金庫,粗大ごみ,事前申込制
鉄アレイ（ダンベル）,小物金属,小物金属回収ボックスへ
鉄パイプ（鉄棒）,小物金属,小物金属回収ボックスへ　30センチを超えるものは粗大ごみ
鉄板,小物金属,小物金属回収ボックスへ　30センチを超えるものは粗大ごみ
テニスラケット,家庭ごみ,
テレビアンテナ,粗大ごみ,事前申込制
テレビゲーム,小型電子機器,小型電子機器回収ボックスへ
テレビボード,粗大ごみ,事前申込制
テレビ（ブラウン管式・液晶式・プラズマ式）,市が収集しないもの,（注）販売店などに引き取りを依頼
テレビ（リアプロジェクション式）,粗大ごみ,事前申込制
テレビ台,粗大ごみ,事前申込制
電気カーペット,粗大ごみ,事前申込制
電気釜（炊飯器）,粗大ごみ,事前申込制
電気かみそり,小型電子機器,小型電子機器回収ボックスへ
電気スタンド,家庭ごみ,指定袋に入らない大きさのものは粗大ごみ
電気ポット（電気ケトル含む）,家庭ごみ,
電気治療器,粗大ごみ,事前申込制
電球,家庭ごみ,新聞紙などに包んで
電子オルガン（電気オルガンも含む）,粗大ごみ,事前申込制
電子ゲーム機（携帯ゲーム機）,小型電子機器,小型電子機器回収ボックスへ
電子辞書（電子手帳）,小型電子機器,小型電子機器回収ボックスへ
電子たばこ,電池類,電池類回収ボックスへ
電子ピアノ,粗大ごみ,事前申込制
電子レンジ,粗大ごみ,事前申込制
電子レンジ台,粗大ごみ,事前申込制
電磁調理器,粗大ごみ,事前申込制  IHコンロなど電子式で小型のものは小型電子機器回収ボックスへ
天体望遠鏡,粗大ごみ,事前申込制
電卓,小型電子機器,小型電子機器回収ボックスへ
電池,電池類,電池の種類によって処分先が異なる  乾電池、ニカド電池、ボタン電池、リチウムイオン電池の項目確認
テント,家庭ごみ,指定袋に入らない大きさのものは粗大ごみ
電動カート,市が収集しないもの,（注）販売店に相談
電動車いす,市が収集しないもの,（注）販売店に相談
電動工具,粗大ごみ,事前申込制
電動歯ブラシ,小型電子機器,小型電子機器回収ボックスへ
天ぷら油,家庭ごみ,布や紙にしみこませるか固形化して、指定袋に入れてください。  できるだけペットボトルに入れて、スーパーなどの回収ボックスへ
電話機（FAX機能付きも含む）,家庭ごみ,小型（概ね25センチ×8.5センチ以内）のものは小型電子機器回収ボックスへ
電話台,粗大ごみ,事前申込制
戸（ドア）,粗大ごみ,事前申込制
砥石,家庭ごみ,
トイレタンク,粗大ごみ,事前申込制
トイレブラシ,家庭ごみ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
陶磁器類,家庭ごみ,新聞紙などに包んで
透析バッグ（点滴バッグ、チューブ、カテーテル）,家庭ごみ,内容物を出し切って新聞紙などに包んで  （注）注射針、血液のついているものは、かかりつけの病院に引き取りを依頼
動物の死体（ペット）,家庭ごみ,動物愛護センターでも受付（電話093-581-1800）
動物の死体（道路上で発見したものなど）,環境センターにご連絡を,環境センターにご連絡を
灯油,市が収集しないもの,（注）専門の処理業者に引き取りを依頼
灯油タンク（ポリタンク）,家庭ごみ,指定袋に入らない大きさのものは粗大ごみ
トースター（ポップアップ式で全体が金属）,小物金属,小物金属回収ボックスへ  オーブントースターは粗大ごみ
時計,家庭ごみ,電子で小型（概ね25センチ×8.5センチ以内）のものは小型電子機器回収ボックスへ
戸棚,粗大ごみ,事前申込制
トタン板（金属製、樹脂製）,粗大ごみ,事前申込制
土なべ,家庭ごみ,新聞紙などに包んで
ドライバー,小物金属,小物金属回収ボックスへ
ドライヤー,家庭ごみ,小型（概ね25センチ×8.5センチ以内）のものは小型電子機器回収ボックスへ
ドラム缶,粗大ごみ,事前申込制
ドラムセット,粗大ごみ,事前申込制
トランプ,家庭ごみ,
トランポリン,粗大ごみ,事前申込制
鳥かご,粗大ごみ,事前申込制
ドリッパー,家庭ごみ,
塗料,市が収集しないもの,（注）専門の処理業者に依頼
塗料缶・びん,家庭ごみ,必ず使い切ってから
塗料容器（プラ製）,プラスチック,必ず使い切ってから
トレイ（食品用発泡スチロール製）,プラスチック,スーパーなどの回収ボックスも利用できます
トレイ（食品用プラ製）,プラスチック,
ドレッサー,粗大ごみ,事前申込制
泥（庭そうじなどで集めた少量のもの）,家庭ごみ,
とんかち（金づち）,小物金属,小物金属回収ボックスへ
ナイフ,家庭ごみ,新聞紙などに包んで
苗木のプラ製ポット,プラスチック,土などを取り除いて
中仕切（プラ製）,プラスチック,
流し台,粗大ごみ,事前申込制
中ぶた（プラ製）,プラスチック,
鉈（なた）,家庭ごみ,新聞紙などに包んで
納豆の容器（紙製）,家庭ごみ,
納豆の容器（プラ製）,プラスチック,
なべ（金属製）,小物金属,小物金属回収ボックスへ  30センチを超えるものは家庭ごみ
生木（長さ2メートル以下、直径10メートル以下）,粗大ごみ,事前申込制
波板（金属製、樹脂製）,粗大ごみ,事前申込制
ニカド電池,家庭ごみ,一般社団法人JBRCの回収協力店にお持ちくだい。  詳細は、一般社団法人JBRCのホームページ（外部リンク）をご確認いただくか、お近くの家電量販店に直接ご確認ください。
人形ケース,粗大ごみ,事前申込制  プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
布類（衣類以外）,家庭ごみ,
ネガフィルム,家庭ごみ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
ネクタイ,家庭ごみ,
ネクタイピン,小物金属,小物金属回収ボックスへ  金属製以外のものは家庭ごみ
ねじ,小物金属,小物金属回収ボックスへ  透明のビニール袋に入れて
寝袋（シュラフ）,家庭ごみ,
粘土（工作用）,家庭ごみ,
農薬,市が収集しないもの,（注）専門の処理業者に依頼
農薬びん（家庭用）（中身のないもの）,家庭ごみ,
ノート,古紙,古紙回収ボックスへ
ノートパソコン,粗大ごみ,「パソコン」のページ参照  小型（概ね25センチ×8.5センチ以内）のものは小型電子機器回収ボックスへ
のこぎり,家庭ごみ,新聞紙などに包んで
バーベキューコンロ,粗大ごみ,事前申込制
バーベル（バー・おもり）,粗大ごみ,事前申込制
ハーモニカ,家庭ごみ,
バイク,市が収集しないもの,・購入店に相談  ・「二輪車リサイクルシステム」（バイクメーカーの取り組み）  ・二輪車リサイクルコールセンター：050-3000-0727に相談（注）自転車やバイク部品のみは対象外
灰皿,家庭ごみ,金属製のものは小物金属回収ボックスへ
パイプいす,粗大ごみ,事前申込制
パイプハンガー,粗大ごみ,事前申込制
廃油,市が収集しないもの,（注）専門の処理業者に相談  廃油処理パック等で固形にしたものは家庭ごみ
はがき,古紙,古紙回収ボックスへ
はかり（台所ばかり）,家庭ごみ,
はきもの類,家庭ごみ,
バケツ,家庭ごみ,金属製のものは小物金属回収ボックスへ  指定袋に入らない大きさのものは粗大ごみ  プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
はさみ,小物金属,小物金属回収ボックスへ
箸（はし）,家庭ごみ,金属製のものは小物金属回収ボックスへ  プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
はしご,粗大ごみ,事前申込制
バスマット,家庭ごみ,
パソコンキーボード,小型電子機器,「パソコン」参照  小型電子機器回収ボックスへ
パソコン用ディスプレイ,粗大ごみ,「パソコン」参照  事前申込制
パソコン本体（デスクトップ型・ノート型）,粗大ごみ,「パソコン」参照  小型のものは小型電子機器回収ボックスへ
パソコンラック,粗大ごみ,事前申込制
発炎筒,市が収集しないもの,（注）販売店に相談
バッテリー,市が収集しないもの,（注）販売店に相談
バット（野球用）,粗大ごみ,事前申込制
バット（料理用）,小物金属,小物金属回収ボックスへ 金属製以外のものは家庭ごみ
発泡スチロール製の容器包装（箱・緩衝材など）,プラスチック,
花火,家庭ごみ,水にひたしてから
パネルヒーター,粗大ごみ,事前申込制
歯ブラシ,家庭ごみ,電動歯ブラシは、小型電子機器回収ボックスへ  プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
歯みがき粉チューブ,プラスチック,中身を使い切って
刃物類,家庭ごみ,新聞紙などに包んで
バラン（仕切り用）,プラスチック,
針（裁縫用など）,家庭ごみ,新聞紙などに包んで
針金,小物金属,小物金属回収ボックスへ 長い場合は巻いた状態で
バリカン,家庭ごみ,金属製のものは小物金属回収ボックスへ 電気バリカンは小型電子機器回収ボックスへ
ハンガー,家庭ごみ,金属製のものは小物金属回収ボックスへ  プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
飯ごう,小物金属,小物金属回収ボックスへ
はんだごて,小型電子機器,小型電子機器回収ボックスへ
パンチ（穴あけ）,小物金属,小物金属回収ボックスへ
ハンディミシン,小型電子機器,小型電子機器回収ボックスへ
ハンドクリーナー,家庭ごみ,
ハンドバッグ,家庭ごみ,
パンフレット,古紙,古紙回収ボックスへ
ハンマー（金属製）,小物金属,小物金属回収ボックスへ
ピアノ,市が収集しないもの,（注）専門の処理業者に依頼
ビーチパラソル,粗大ごみ,事前申込制
PPバンド,プラスチック,50センチ未満に切って
ビールケース,粗大ごみ,事前申込制  できるだけ販売店へ
ビールびん,かん・びん,できるだけ販売店へ
ビールびんのふた,小物金属,小物金属回収ボックスへ
ひげそり,家庭ごみ,金属製のものは小物金属回収ボックスへ 電気ひげそりはできるだけ小型電子機器回収ボックスへ
ビデオカメラ,小型電子機器,小型電子機器回収ボックスへ
ビデオテープ類（ケースを含む）,家庭ごみ,
ビデオデッキ,粗大ごみ,事前申込制
ひな人形セット,家庭ごみ,指定袋に入らない大きさのものは粗大ごみ
ビニールシート,家庭ごみ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
ビニール手袋,プラスチック,
ビニール袋,プラスチック,
火バサミ,小物金属,小物金属回収ボックスへ
火鉢,粗大ごみ,事前申込制
肥料,家庭ごみ,
びん（飲料・食品のびん）,かん・びん,
びん（のみ薬のびん）,かん・びん,
びん（調味料びん）,かん・びん,
びん（ソース、ドレッシングびん）,かん・びん,油をよく落として
びん（油びん）,かん・びん,油をよく落として
びん（化粧品のびん）,かん・びん,
びん（飲食物以外のびん）,家庭ごみ,
ファイル（紙製）,古紙,古紙回収ボックスへ 金具等は外して
ファイル（プラスチック製）,プラスチック,
ファクシミリ（FAX）,粗大ごみ,事前申込制  小型（概ね25センチ×8.5センチ以内）のものは小型電子機器回収ボックスへ
ファクシミリ用紙（感熱紙）,家庭ごみ,
ファンシーケース（衣装ケース）,粗大ごみ,事前申込制  プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
ファンヒーター,粗大ごみ,事前申込制  灯油は抜いて
フィルム（ネガ）,家庭ごみ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
フィルムケース,プラスチック,
封筒,古紙,古紙回収ボックスへ ビニール製のものは家庭ごみ
フードプロセッサー,家庭ごみ,
ふえ（ホイッスル）,小物金属,小物金属回収ボックスへ 金属製以外のものは家庭ごみ  プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
フェンス,粗大ごみ,事前申込制
フォーク,小物金属,小物金属回収ボックスへ 金属製以外のものは家庭ごみ  プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
ふすま,粗大ごみ,事前申込制
ふせん,古紙,古紙回収ボックスへ のり部分は取り除いて
ふた・キャップ（金属製）,小物金属,小物金属回収ボックスへ
ふた・キャップ（プラ製）,プラスチック,
ブックエンド,小物金属,小物金属回収ボックスへ 金属製以外のものは家庭ごみ  プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
ブックカバー,古紙,古紙回収ボックスへ 紙製以外のものは家庭ごみ
仏壇,粗大ごみ,事前申込制
筆箱,家庭ごみ,金属製のものは小物金属回収ボックスへ  プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
布団,粗大ごみ,事前申込制
布団乾燥機,粗大ごみ,事前申込制
布団たたき,家庭ごみ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
布団干し,粗大ごみ,事前申込制
フライ返し,小物金属,小物金属回収ボックスへ  金属製以外のものは家庭ごみ  プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
フライパン,小物金属,小物金属回収ボックスへ  30センチを超えるものは家庭ごみ
ブラインド,粗大ごみ,事前申込制
ぶら下がり健康器,粗大ごみ,事前申込制
ブラシ,家庭ごみ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
プラスチック製収納箱,家庭ごみ,指定袋に入らない大きさのものは粗大ごみ  プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
プラモデル,家庭ごみ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
ブランコ,粗大ごみ,事前申込制
プランター,家庭ごみ,指定袋に入らない大きさのものは粗大ごみ  プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
ブリキ製品,小物金属,小物金属回収ボックスへ  30センチを超えるものは粗大ごみ
プリンター,粗大ごみ,事前申込制  小型（概ね25センチ×8.5センチ以内）のものは小型電子機器回収ボックスへ
プリンターのインクカートリッジ,家庭ごみ,できるだけ販売店へ（市役所・区役所にも回収箱があります）
ブルーシート,家庭ごみ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
古着,古着,古着回収ボックスへ
プレーヤー,粗大ごみ,事前申込制  小型（概ね25センチ×8.5センチ以内）のものは小型電子機器回収ボックスへ
風呂おけ（浴槽）,粗大ごみ,事前申込制
風呂釜,粗大ごみ,事前申込制
風呂ふた,粗大ごみ,事前申込制
ブロック,粗大ごみ,事前申込制
フロッピーディスク,家庭ごみ,
プロパンガスボンベ,市が収集しないもの,（注）販売店に相談
文鎮（ぶんちん）,小物金属,小物金属回収ボックスへ
噴霧器,粗大ごみ,事前申込制
ヘアピン,小物金属,小物金属回収ボックスへ 透明のビニール袋に入れて
ベッド,粗大ごみ,事前申込制
ベッドマット（スプリングマット含む）,粗大ごみ,事前申込制
ペットの運搬ケース（ケージ）,家庭ごみ,指定袋に入らない大きさのものは粗大ごみ
ペットの小屋,粗大ごみ,事前申込制
ペットの亡き骸,家庭ごみ,動物愛護センターでも受付（電話093-581-1800）
ペットのふん,家庭ごみ,
ペットフードかん,かん・びん,油と汚れをよく落として
ペット用の檻（おり）,粗大ごみ,事前申込制
ペット用トイレ,家庭ごみ,
ペットボトル,ペットボトル,
ペットボトルのふた,プラスチック,
ヘッドホン,家庭ごみ,小型（概ね25センチ×8.5センチ以内）のものは小型電子機器回収ボックスへ
ベニヤ板,家庭ごみ,指定袋に入らない大きさのものは粗大ごみ
ベビーカー（乳母車）,粗大ごみ,事前申込制
ベビーダンス,粗大ごみ,事前申込制
ベビーチェアー,家庭ごみ,指定袋に入らない大きさのものは粗大ごみ  プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
ベビーバス,粗大ごみ,事前申込制 プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
ベビー布団,粗大ごみ,事前申込制
ベビーベッド,粗大ごみ,事前申込制
ヘルメット,家庭ごみ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
便器（温水洗浄機能付便座含む）,粗大ごみ,事前申込制
ペンキ,市が収集しないもの,（注）専門の処理業者に依頼
ペンキ（スプレー缶）,家庭ごみ,必ず中身を使い切ってから穴をあけずに
ペンキ缶（中身のないもの）,家庭ごみ,
ペンチ,小物金属,小物金属回収ボックスへ
弁当箱,家庭ごみ,金属製のものは小物金属回収ボックスへ  プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
弁当の容器（プラ製・コンビニなどの弁当容器）,プラスチック,
ボアシーツ,家庭ごみ,
ホイールキャップ,家庭ごみ,
望遠鏡,粗大ごみ,事前申込制
ほうき,家庭ごみ,指定袋に入らない大きさのものは粗大ごみ
包装紙,古紙,古紙回収ボックスへ  セロハンテープなど紙以外のものは除いてから
包装用フィルム,プラスチック,
防虫剤,家庭ごみ,
防虫剤容器,家庭ごみ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
包丁,家庭ごみ,新聞紙などに包んで
防腐剤,家庭ごみ,
ボウル（台所用品、金属製）,小物金属,小物金属回収ボックスへ  金属製以外のものは家庭ごみ  プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
ホース,家庭ごみ,
ホースリール,家庭ごみ,指定袋に入らない大きさのものは粗大ごみ
ポータブルプレーヤー（テレビ、ラジオ、CD、MP3など）,小型電子機器,小型電子機器回収ボックスへ
ボート（ゴムボートを除く）,市が収集しないもの,（注）日本マリン事業協会：03-5542-1202に相談
ホームベーカリー,粗大ごみ,事前申込制
ホームラック,粗大ごみ,事前申込制
ボウリングの球,粗大ごみ,事前申込制
ボールペン,家庭ごみ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
ホーロー鍋,小物金属,小物金属回収ボックスへ
歩行器,粗大ごみ,事前申込制
保温剤・保冷剤,家庭ごみ,
ポスター,古紙,古紙回収ボックスへ
ボタン,家庭ごみ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
ボタン電池,電池類,電池類　回収ボックスへ  できるだけ電器店などの回収ボックスへ
ホッチキス（針も含む）,小物金属,小物金属回収ボックスへ  針のみの場合は透明のビニール袋に入れて
ポット（電気ポット含む）,家庭ごみ,
ホットカーペット,粗大ごみ,事前申込制
ホットプレート,粗大ごみ,事前申込制  30センチ以下で金属製のものは小物金属回収ボックスへ
ほ乳びん,家庭ごみ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
ポリタンク,家庭ごみ,指定袋に入らない大きさのものは粗大ごみ  プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
ポリ袋（プラマーク付き）,プラスチック,
ポリ容器,家庭ごみ,指定袋に入らない大きさのものは粗大ごみ  プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
本,古紙,古紙回収ボックスへ
本立て,小物金属,小物金属回収ボックスへ  金属製以外のものは家庭ごみ
本棚,粗大ごみ,事前申込制
ポンプ（ポリタンク用）,プラスチック,
ポンプ（井戸用）,粗大ごみ,事前申込制
ボンボンベッド（サマーベッド）,粗大ごみ,事前申込制
マーカーペン,家庭ごみ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
麻雀卓,粗大ごみ,事前申込制
麻雀牌・マット,家庭ごみ,
マイク,家庭ごみ,
マウス,小型電子機器,小型電子機器回収ボックスへ
マガジンラック,家庭ごみ,金属製のものは小物金属回収ボックスへ  指定袋に入らない大きさのものは粗大ごみ
マグネット,家庭ごみ,
枕,家庭ごみ,
マッサージいす,粗大ごみ,事前申込制
マッサージ機,家庭ごみ,指定袋に入らない大きさのものは粗大ごみ  電気式で小型のものは小型電子機器回収ボックスへ
マッチ,家庭ごみ,水にひたしてから
マットレス,粗大ごみ,事前申込制
窓ガラス,粗大ごみ,事前申込制  割れて小さいものは新聞紙などに包んで家庭ごみへ
窓付き封筒,古紙,古紙回収ボックスへ  セロハンなどの窓部分は家庭ごみへ
まな板,家庭ごみ,
マニキュアのびん,家庭ごみ,
魔法びん,家庭ごみ,
豆電球,家庭ごみ,新聞紙などに包んで
マヨネーズのチューブ（ふたを含む）,プラスチック,中身を使い切って
丸太（長さ2メートル以下、直径20センチ以下）,粗大ごみ,事前申込制
みかんなどの網・ネット,プラスチック,
みかんなどのポリ袋,プラスチック,
ミキサー,家庭ごみ,
ミシン,粗大ごみ,事前申込制
ミシン台,粗大ごみ,事前申込制
ミニカー,家庭ごみ,金属製のものは小物金属回収ボックスへ
ミニコンポ,粗大ごみ,事前申込制
ミル,家庭ごみ,
ミルクかん,かん・びん,
虫かご,家庭ごみ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
蒸し器,小物金属,小物金属回収ボックスへ  木製、竹製のせいろは家庭ごみへ
虫ピン,家庭ごみ,新聞紙などに包んで
虫めがね,家庭ごみ,
名刺,古紙,古紙回収ボックスへ
めがね,家庭ごみ,
眼鏡ケース,家庭ごみ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
目薬の容器,プラスチック,
メモ用紙,古紙,古紙回収ボックスへ
毛布,家庭ごみ,
木材（長さ2メートル以下、直径20センチ以下）,粗大ごみ,事前申込制
木炭,家庭ごみ,
木馬（子供用遊具）,粗大ごみ,事前申込制
もちつき機,粗大ごみ,事前申込制
モップ,家庭ごみ,指定袋に入らない大きさのものは粗大ごみ
物置（解体したもの）,粗大ごみ,事前申込制
ものさし,家庭ごみ,金属製で30センチ以内のものは小物金属回収ボックスへ  プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
物干しざお,粗大ごみ,事前申込制
物干し台,粗大ごみ,事前申込制
物干し台の支柱,粗大ごみ,事前申込制
モバイルバッテリー,電池類,電池類回収ボックスへ
門扉,粗大ごみ,事前申込制
やかん,小物金属,小物金属回収ボックスへ
薬品（家庭医薬品）,家庭ごみ,
薬品（家庭医薬品でないもの）,市が収集しないもの,（注）専門の処理業者に依頼
野菜などの結束用テープ,家庭ごみ,
野菜などのトレイ,プラスチック,
ヤスリ（紙）,家庭ごみ,
ヤスリ（金属製）,小物金属,小物金属回収ボックスへ
床暖房パネル,粗大ごみ,事前申込制
湯たんぽ（金属製）,小物金属,小物金属回収ボックスへ
湯たんぽ（金属製以外）,家庭ごみ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
ゆりかご,粗大ごみ,事前申込制
湯沸し器,粗大ごみ,事前申込制
洋服,古着,古着回収ボックスへ
浴槽,粗大ごみ,事前申込制
よしず,粗大ごみ,事前申込制
ライター,家庭ごみ,中身を使い切ってから穴をあけずに
ラケット,家庭ごみ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
ラジオ,家庭ごみ,小型（概ね25センチ×8.5センチ以内）のものはできるだけ小型電子機器回収ボックスへ
ラジカセ,粗大ごみ,小型（概ね25センチ×8.5センチ以内）のものはできるだけ小型電子機器回収ボックスへ
ラップ（家庭で使用したもの）,家庭ごみ,
ラップ（購入した商品を包んでいたもの）,プラスチック,
ランタン,家庭ごみ,
ランドセル,家庭ごみ,
ランニングマシン,粗大ごみ,事前申込制
リコーダー,家庭ごみ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
リチウムイオン電池（充電池）,電池類,電池類回収ボックスへ
リチウム電池（充電ができないもの）,電池類,電池類回収ボックスへ
リップクリームの容器（プラ製）,プラスチック,
リモコン,小型電子機器,小型電子回収ボックスへ
リヤカー,粗大ごみ,事前申込制
りんごなどを包んだ発泡スチロール製ネット,プラスチック,
ルーペ,家庭ごみ,
ルームランナー,粗大ごみ,事前申込制
冷温庫,粗大ごみ,事前申込制
冷水器,粗大ごみ,事前申込制
